transaction_dt,financial_entity_name,bank_account_id,transaction_currency_code,transaction_amount,account_reference_number,Cash Flow Category,Cash Flow Main 1,Cash Flow Main 2,Cash Flow Main 3,Cash Flow Main 4
02/04/2024,RandomValue73,RandomValue73,USD,991.7036205,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue74,RandomValue74,USD,726.7839793,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue75,RandomValue75,USD,179.0250528,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue76,RandomValue76,USD,684.7553801,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue77,RandomValue77,USD,265.5806665,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue78,RandomValue78,USD,316.9979424,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue79,RandomValue79,USD,15.08947042,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue80,RandomValue80,USD,872.5764475,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue81,RandomValue81,USD,615.7080983,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue82,RandomValue82,USD,116.6917901,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue83,RandomValue83,USD,814.007192,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue84,RandomValue84,USD,215.7941431,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue85,RandomValue85,USD,358.981458,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue86,RandomValue86,USD,240.5306289,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue87,RandomValue87,USD,308.9240549,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue88,RandomValue88,USD,346.4997176,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue89,RandomValue89,USD,727.7602531,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue90,RandomValue90,USD,571.7733387,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue91,RandomValue91,USD,855.2797047,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue92,RandomValue92,USD,259.5881816,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue93,RandomValue93,USD,421.2851596,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue94,RandomValue94,USD,779.6173048,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue95,RandomValue95,USD,138.4091793,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue96,RandomValue96,USD,316.4862542,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue97,RandomValue97,USD,250.5548639,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue98,RandomValue98,USD,532.8458676,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue99,RandomValue99,USD,649.4607713,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue100,RandomValue100,USD,177.5855338,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue101,RandomValue101,USD,694.5027235,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue102,RandomValue102,USD,479.1907219,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue103,RandomValue103,USD,519.7196841,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue104,RandomValue104,USD,416.9983665,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue105,RandomValue105,USD,394.5520914,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue106,RandomValue106,USD,981.5751092,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue107,RandomValue107,USD,622.7789443,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue108,RandomValue108,USD,731.0273572,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue109,RandomValue109,USD,497.0118253,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue110,RandomValue110,USD,26.2619826,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue111,RandomValue111,USD,393.2241679,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue112,RandomValue112,USD,770.99355,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue113,RandomValue113,USD,106.3855247,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue114,RandomValue114,USD,400.3483433,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue115,RandomValue115,USD,542.8796628,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue116,RandomValue116,USD,922.3247024,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue117,RandomValue117,USD,204.8660352,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue118,RandomValue118,USD,122.31178,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue119,RandomValue119,USD,136.0577769,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue120,RandomValue120,USD,644.992124,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue121,RandomValue121,USD,393.7616043,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue122,RandomValue122,USD,2.443817855,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue123,RandomValue123,USD,402.0625767,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue124,RandomValue124,USD,725.6282354,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue125,RandomValue125,USD,990.5791661,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue126,RandomValue126,USD,922.699898,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue127,RandomValue127,USD,705.7496316,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue128,RandomValue128,USD,602.6442846,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue129,RandomValue129,USD,735.5256237,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue130,RandomValue130,USD,368.2176198,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue131,RandomValue131,USD,751.1200601,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue132,RandomValue132,USD,577.5102183,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue133,RandomValue133,USD,656.7479498,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue134,RandomValue134,USD,286.3468187,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue135,RandomValue135,USD,807.5906799,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue136,RandomValue136,USD,81.60340204,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue137,RandomValue137,USD,852.3917589,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue138,RandomValue138,USD,13.19872586,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue139,RandomValue139,USD,284.3684202,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue140,RandomValue140,USD,108.3152129,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue141,RandomValue141,USD,247.6614398,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue142,RandomValue142,USD,872.2723018,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue143,RandomValue143,USD,68.03497779,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue144,RandomValue144,USD,203.7127145,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue145,RandomValue145,USD,353.9524568,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue146,RandomValue146,USD,261.3983345,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue147,RandomValue147,USD,206.8410431,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue148,RandomValue148,USD,575.8699064,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue149,RandomValue149,USD,449.1826883,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue150,RandomValue150,USD,470.4744103,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue151,RandomValue151,USD,487.0434984,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue152,RandomValue152,USD,625.1595083,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue153,RandomValue153,USD,892.9391239,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue154,RandomValue154,USD,530.2349006,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue155,RandomValue155,USD,730.2373188,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue156,RandomValue156,USD,319.4924824,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue157,RandomValue157,USD,900.1316803,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue158,RandomValue158,USD,180.7176747,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue159,RandomValue159,USD,725.0897841,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue160,RandomValue160,USD,466.8668199,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue161,RandomValue161,USD,884.5467224,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue162,RandomValue162,USD,739.6024061,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue163,RandomValue163,USD,798.3250645,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue164,RandomValue164,USD,420.5395216,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue165,RandomValue165,USD,486.7280691,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue166,RandomValue166,USD,647.4379523,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue167,RandomValue167,USD,864.3627538,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue168,RandomValue168,USD,199.1796758,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue169,RandomValue169,USD,829.743092,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue170,RandomValue170,USD,49.72115146,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue171,RandomValue171,USD,420.7580365,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue172,RandomValue172,USD,851.4293511,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue173,RandomValue173,USD,787.8320464,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue174,RandomValue174,USD,507.3604816,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue175,RandomValue175,USD,422.8490713,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue176,RandomValue176,USD,577.7137174,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue177,RandomValue177,USD,957.0791329,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue178,RandomValue178,USD,380.3990036,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue179,RandomValue179,USD,750.8556462,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue180,RandomValue180,USD,509.5833426,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue181,RandomValue181,USD,66.86394893,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue182,RandomValue182,USD,141.8798372,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue183,RandomValue183,USD,20.90477329,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue184,RandomValue184,USD,903.6898637,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue185,RandomValue185,USD,954.3299613,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue186,RandomValue186,USD,488.8344244,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue187,RandomValue187,USD,312.3896611,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue188,RandomValue188,USD,632.3863466,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue189,RandomValue189,USD,417.5267807,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue190,RandomValue190,USD,743.0094854,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue191,RandomValue191,USD,519.8125483,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue192,RandomValue192,USD,186.9481979,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue193,RandomValue193,USD,719.7540928,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue194,RandomValue194,USD,543.8438157,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue195,RandomValue195,USD,594.5924494,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue196,RandomValue196,USD,796.9649478,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue197,RandomValue197,USD,518.4407201,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue198,RandomValue198,USD,868.4101603,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue199,RandomValue199,USD,767.0574006,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue200,RandomValue200,USD,9.010344015,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue201,RandomValue201,USD,965.7129307,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue202,RandomValue202,USD,592.8509787,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue203,RandomValue203,USD,956.4327016,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue204,RandomValue204,USD,548.738043,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue205,RandomValue205,USD,485.6147058,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue206,RandomValue206,USD,739.084003,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue207,RandomValue207,USD,191.5300527,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue208,RandomValue208,USD,936.4549341,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue209,RandomValue209,USD,891.2184913,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue210,RandomValue210,USD,470.1294835,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue211,RandomValue211,USD,318.5519053,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue212,RandomValue212,USD,377.8778237,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue213,RandomValue213,USD,375.4760932,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue214,RandomValue214,USD,477.4957454,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue215,RandomValue215,USD,157.0018351,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue216,RandomValue216,USD,99.66970727,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
